assets,assets_check,billsred,capital,cchdufrm,circulation,city,county,diff,diff1,diffA,diffL,fips,id,id_old,liabs_check,loans,name,otherassets,otherliabs,othsec,profits,surpro,totdep,ussec,year,loanAssetRatio
1132948,1132948,0.0,100000,423235,0.0,amenia,Dutchess,,,0.0,0.0,36027,1010,,1132948,317177,first,16229,0.0,174572,28721.0,82000.0,922227,201735.0,1939,0.27995724428658686
2139253,2139253,0.0,192500,446280,0.0,amityville,Suffolk,,,0.0,0.0,36103,1011,,2139253,487389,first nb and tc,249519,2762.0,241993,27499.0,25000.0,1891492,714072.0,1939,0.22783139722136653
6044941,6044941,0.0,300000,801065,0.0,amsterdam,Montgomery,,,0.0,0.0,36057,1012,,6044941,963646,first,302987,6012.0,1518498,94220.0,300000.0,5344709,2458745.0,1939,0.15941363199409225
2032606,2032606,0.0,200000,565299,0.0,amsterdam,Montgomery,,,0.0,0.0,36057,1013,,2032606,415564,amsterdam city,13360,1066.0,606692,166927.0,350000.0,1314613,431691.0,1939,0.20444887007122875
4139211,4139211,0.0,300000,524567,0.0,amsterdam,Montgomery,,,0.0,0.0,36057,1014,,4139211,1251584,farmers,163068,18463.0,702076,50030.0,210000.0,3560718,1497916.0,1939,0.3023726019282419
348746,348746,8000.0,40000,40906,0.0,andes,Delaware,,,0.0,0.0,36025,1015,,348746,202953,nb,6873,0.0,66664,3697.0,2000.0,295049,31350.0,1939,0.5819507607255711
760112,760112,0.0,100000,119249,0.0,andover,Allegany,,,0.0,0.0,36003,1016,,760112,407800,burrows,11167,2363.0,136993,18661.0,30000.0,609088,84903.0,1939,0.5364998842275875
726454,726454,0.0,90000,228944,0.0,angola,Erie,,,0.0,0.0,36029,1017,,726454,349796,evans,31444,389.0,60679,8998.0,0.0,627067,55591.0,1939,0.48151156164051684
666579,666579,5325.0,55200,242773,0.0,ardsley,Westchester,,,0.0,4321.0,36119,1019,,670900,250559,first,21165,4801.0,85969,10077.0,15000.0,580497,66113.0,1939,0.37588792926269804
426033,426033,0.0,40000,36865,0.0,argyle,Washington,,,0.0,0.0,36115,1608,,426033,235874,nb,9521,0.0,60037,15193.0,10000.0,360840,83736.0,1939,0.553651947149634
739282,739282,0.0,100000,119762,0.0,athens,Greene,,,0.0,0.0,36039,1021,,739282,337688,athens,17158,2325.0,133230,37036.0,11350.0,588571,131444.0,1939,0.45677833357230396
